N,agent,mode,tau,K,seed,w_hat,W,wall_ms,offers_seen,solver_calls,label
50,satisficer,k_greedy,,1,1000,0.3343869479166666,2.4210134722222225,0.003553541666666666,0.2821527777777778,0.0,book
50,satisficer,k_greedy,,1,1001,0.3837400833333333,2.6590509409722225,0.003417916666666667,0.311875,0.0,book
50,satisficer,k_greedy,,1,1002,0.38218409722222224,2.7436676666666666,0.003813888888888889,0.2956944444444444,0.0,book
50,satisficer,k_greedy,,1,1003,0.36196703472222225,2.465826947916667,0.0032387500000000003,0.2902777777777778,0.0,book
50,satisficer,k_greedy,,1,1004,0.37655777777777777,2.44359746875,0.003249166666666666,0.29659722222222223,0.0,book
50,satisficer,k_greedy,,3,1000,0.4303569236111111,4.665467517361112,0.0028583333333333334,0.8085416666666667,0.0,book
50,satisficer,k_greedy,,3,1001,0.5628631215277777,6.2198653437499996,0.0028097222222222217,0.971111111111111,0.0,book
50,satisficer,k_greedy,,3,1002,0.5017712222222221,6.234700777777778,0.0028337500000000003,0.8638194444444446,0.0,book
50,satisficer,k_greedy,,3,1003,0.4598513819444445,5.532782149305556,0.0029134027777777778,0.8352083333333333,0.0,book
50,satisficer,k_greedy,,3,1004,0.48879039236111116,5.460402295138888,0.002712708333333333,0.8685416666666665,0.0,book
50,satisficer,k_greedy,,5,1000,0.4638032916666666,5.872252277777777,0.0027166666666666663,1.0758333333333332,0.0,book
50,satisficer,k_greedy,,5,1001,0.5955385555555556,7.5934939097222225,0.003015694444444444,1.1427083333333334,0.0,book
50,satisficer,k_greedy,,5,1002,0.5891108541666665,7.799937180555556,0.0029948611111111113,1.183472222222222,0.0,book
50,satisficer,k_greedy,,5,1003,0.5601691770833334,7.031934208333333,0.002909791666666667,1.2756944444444445,0.0,book
50,satisficer,k_greedy,,5,1004,0.5758523958333333,6.771898364583333,0.0028716666666666665,1.2449305555555557,0.0,book
100,satisficer,k_greedy,,1,1000,0.345358875,4.837052878472223,0.006357152777777778,0.28041666666666665,0.0,book
100,satisficer,k_greedy,,1,1001,0.38361759375,4.992411927083334,0.006711076388888889,0.29854166666666665,0.0,book
100,satisficer,k_greedy,,1,1002,0.38733195833333334,5.074740604166667,0.006485138888888888,0.2947916666666666,0.0,book
100,satisficer,k_greedy,,1,1003,0.3597427083333333,5.081670138888889,0.006523368055555555,0.2913541666666667,0.0,book
100,satisficer,k_greedy,,1,1004,0.37554641319444443,4.979918270833333,0.006248125,0.3069444444444444,0.0,book
100,satisficer,k_greedy,,3,1000,0.43762706250000005,9.556537444444444,0.004979236111111111,0.7928125,0.0,book
100,satisficer,k_greedy,,3,1001,0.48878481597222223,10.484407145833334,0.004776458333333333,0.8375347222222222,0.0,book
100,satisficer,k_greedy,,3,1002,0.4961219409722223,11.262100437500001,0.0050092708333333335,0.8407638888888889,0.0,book
100,satisficer,k_greedy,,3,1003,0.4980239166666667,10.293618267361111,0.004643263888888889,0.8122569444444444,0.0,book
100,satisficer,k_greedy,,3,1004,0.5374724305555555,11.74059990277778,0.005416979166666665,0.945138888888889,0.0,book
100,satisficer,k_greedy,,5,1000,0.47414240625,12.148330784722223,0.005048125,1.0495486111111112,0.0,book
100,satisficer,k_greedy,,5,1001,0.6023736458333333,13.481712996527778,0.005210069444444444,1.3524652777777777,0.0,book
100,satisficer,k_greedy,,5,1002,0.6029128263888889,14.378409513888888,0.005080243055555556,1.2902083333333334,0.0,book
100,satisficer,k_greedy,,5,1003,0.5694891979166666,13.243812375,0.0052828125,1.1794791666666666,0.0,book
100,satisficer,k_greedy,,5,1004,0.5878850729166667,14.293521958333335,0.005319409722222221,1.182361111111111,0.0,book
200,satisficer,k_greedy,,1,1000,0.38749813541666667,9.650470395833334,0.012727395833333332,0.2912152777777778,0.0,book
200,satisficer,k_greedy,,1,1001,0.38337004166666666,9.609700524305556,0.012366822916666666,0.30501736111111116,0.0,book
200,satisficer,k_greedy,,1,1002,0.38766093749999997,9.930334840277778,0.012572743055555556,0.2990451388888889,0.0,book
200,satisficer,k_greedy,,1,1003,0.3672222534722222,9.848822402777778,0.012790885416666667,0.29647569444444444,0.0,book
200,satisficer,k_greedy,,1,1004,0.3969660034722222,9.504723694444445,0.012512239583333333,0.3061979166666667,0.0,book
200,satisficer,k_greedy,,3,1000,0.47992382986111104,20.183857663194445,0.00912796875,0.8219444444444446,0.0,book
200,satisficer,k_greedy,,3,1001,0.5065839097222222,20.96669647222222,0.009438750000000001,0.8724652777777777,0.0,book
200,satisficer,k_greedy,,3,1002,0.5430710798611111,22.203169586805558,0.009408350694444444,0.8602083333333335,0.0,book
200,satisficer,k_greedy,,3,1003,0.5194014340277777,21.128208256944447,0.009413020833333334,0.8393576388888888,0.0,book
200,satisficer,k_greedy,,3,1004,0.5515154895833333,21.10754725347222,0.009591614583333333,0.9158506944444444,0.0,book
200,satisficer,k_greedy,,5,1000,0.5586720451388889,25.52316641666667,0.009179375,1.2451736111111111,0.0,book
200,satisficer,k_greedy,,5,1001,0.6034049895833333,26.213936364583333,0.009749496527777778,1.3474652777777778,0.0,book
200,satisficer,k_greedy,,5,1002,0.640100704861111,28.335098798611114,0.009808524305555556,1.2665451388888889,0.0,book
200,satisficer,k_greedy,,5,1003,0.6215512708333334,26.752244621527776,0.009646996527777778,1.329027777777778,0.0,book
