t,trades,traded_kwh,posted_buy_kwh,posted_sell_kwh,unserved_kwh,curtailment_kwh,price_mean,price_var,W,W_bound,W_hat
0,0,0.000000,12.533400,0.000000,12.533400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0,0.000000,12.533520,0.000000,12.533520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0,0.000000,12.533668,0.000000,12.533668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0,0.000000,12.533850,0.000000,12.533850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0,0.000000,12.534073,0.000000,12.534073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0,0.000000,12.534346,0.000000,12.534346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0,0.000000,12.534679,0.000000,12.534679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0,0.000000,12.535085,0.000000,12.535085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0,0.000000,12.535579,0.000000,12.535579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0,0.000000,12.536176,0.000000,12.536176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0,0.000000,12.536899,0.000000,12.536899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0,0.000000,12.537770,0.000000,12.537770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0,0.000000,12.538818,0.000000,12.538818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0,0.000000,12.540075,0.000000,12.540075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0,0.000000,12.541581,0.000000,12.541581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0,0.000000,12.543378,0.000000,12.543378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0,0.000000,12.545519,0.000000,12.545519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0,0.000000,12.548063,0.000000,12.548063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0,0.000000,12.551078,0.000000,12.551078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0,0.000000,12.554641,0.000000,12.554641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0,0.000000,12.558846,0.000000,12.558846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,0,0.000000,12.563789,0.000000,12.563789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0,0.000000,12.569589,0.000000,12.569589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0,0.000000,12.576378,0.000000,12.576378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0,0.000000,12.584305,0.000000,12.584305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0,0.000000,12.593535,0.000000,12.593535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0,0.000000,12.604259,0.000000,12.604259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0,0.000000,12.616682,0.000000,12.616682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0,0.000000,12.631037,0.000000,12.631037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0,0.000000,12.647582,0.000000,12.647582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0,0.000000,12.666612,0.000000,12.666612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,0,0.000000,12.688440,0.000000,12.688440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,0,0.000000,12.713383,0.000000,12.713383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,0,0.000000,12.741844,0.000000,12.741844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,0,0.000000,12.774250,0.000000,12.774250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0,0.000000,12.810996,0.000000,12.810996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0,0.000000,12.852609,0.000000,12.852609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,0,0.000000,12.899603,0.000000,12.899603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,0,0.000000,12.952480,0.000000,12.952480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,0,0.000000,13.011831,0.000000,13.011831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0,0.000000,13.078342,0.000000,13.078342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,0,0.000000,13.152617,0.000000,13.152617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,0,0.000000,13.235220,0.000000,13.235220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
